epoch,loss,lr,val_loss
0,12.090490341186523,0.001,3.5897746086120605
1,2.0348563194274902,0.001,4.150615215301514
2,1.3604881763458252,0.001,3.024496555328369
3,0.974035382270813,0.001,4.4266180992126465
4,1.0109232664108276,0.001,7.689251899719238
5,1.1519540548324585,0.001,2.999098062515259
6,0.5859956741333008,0.000100000005,2.1070680618286133
7,0.3924521803855896,0.000100000005,1.7529973983764648
8,0.31291326880455017,0.000100000005,1.8604061603546143
9,0.2554105520248413,0.000100000005,1.8391088247299194
10,0.23121827840805054,0.000100000005,1.8596429824829102
11,0.1892656534910202,1.0000001e-05,1.860406517982483
12,0.19095121324062347,1.0000001e-05,1.8808411359786987
13,0.18508222699165344,1.0000001e-05,1.895089030265808
14,0.18275848031044006,1e-05,1.9195914268493652
15,0.17142972350120544,1e-05,1.9453649520874023
16,0.16247864067554474,1e-05,1.962609052658081
17,0.16148687899112701,1e-05,1.9810210466384888
